,imdb_id,original_title,avg_vote,release_year
3266,tt0101414,Beauty and the Beast,8.0,1991
730,tt0175880,Magnolia,8.0,1999
2014,tt0089603,Mishima: A Life in Four Chapters,8.0,1985
1629,tt0327056,Mystic River,7.9,2003
3536,tt0055256,"One, Two, Three",7.9,1961
345,tt0796366,Star Trek,7.9,2009
1105,tt1655442,The Artist,7.9,2011
210,tt1065073,Boyhood,7.9,2014
347,tt1136608,District 9,7.9,2009
3388,tt0094226,The Untouchables,7.9,1987
3480,tt0099487,Edward Scissorhands,7.9,1990
2192,tt0206634,Children of Men,7.9,2006
1941,tt2209418,Before Midnight,7.9,2013
962,tt1125849,The Wrestler,7.9,2008
3540,tt0054331,Spartacus,7.9,1960
3637,tt0061811,In the Heat of the Night,7.9,1967
3643,tt0056923,Charade,7.9,1963
690,tt0120363,Toy Story 2,7.9,1999
2493,tt0080455,The Blues Brothers,7.9,1980
3043,tt0181875,Almost Famous,7.9,2000
3253,tt0097123,Crimes and Misdemeanors,7.9,1989
3255,tt0097937,My Left Foot: The Story of Christy Brown,7.9,1989
2343,tt0304141,Harry Potter and the Prisoner of Azkaban,7.9,2004
3256,tt0097216,Do the Right Thing,7.9,1989
972,tt0780536,In Bruges,7.9,2008
3724,tt0065214,The Wild Bunch,7.9,1969
3727,tt0077402,Dawn of the Dead,7.9,1978
3580,tt0108399,True Romance,7.9,1993
3578,tt0106519,Carlito's Way,7.9,1993
3709,tt0066206,Patton,7.9,1970
2366,tt0365748,Shaun of the Dead,7.9,2004
1757,tt0118749,Boogie Nights,7.9,1997
175,tt2872718,Nightcrawler,7.9,2014
3678,tt0091167,Hannah and Her Sisters,7.9,1986
913,tt0371746,Iron Man,7.9,2008
183,tt1631867,Edge of Tomorrow,7.9,2014
379,tt1182345,Moon,7.9,2009
1453,tt0454876,Life of Pi,7.9,2012
1262,tt0258463,The Bourne Identity,7.9,2002
1982,tt0088847,The Breakfast Club,7.9,1985
365,tt0432283,Fantastic Mr. Fox,7.9,2009
3,tt2488496,Star Wars: The Force Awakens,7.9,2015
2258,tt0498380,Letters from Iwo Jima,7.9,2006
695,tt0140352,The Insider,7.8,1999
1858,tt1535109,Captain Phillips,7.8,2013
3372,tt0093773,Predator,7.8,1987
1080,tt1568346,The Girl with the Dragon Tattoo,7.8,2011
3100,tt0083866,E.T. the Extra-Terrestrial,7.8,1982
580,tt0964517,The Fighter,7.8,2010
2998,tt0162222,Cast Away,7.8,2000
1914,tt1924396,La migliore offerta,7.8,2013
